Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
The Lord of the Rings: War in the North;MICROSOFT;2011;Action;Warner Bros. Interactive Entertainment;0,52;0,26;0;0,08;0,86
The Lord of the Rings: War in the North;SONY;2011;Action;Warner Bros. Interactive Entertainment;0,25;0,45;0,01;0,15;0,86
LEGO Harry Potter: Years 5-7;MICROSOFT;2011;Action;Warner Bros. Interactive Entertainment;0,51;0,39;0;0,09;0,99
LEGO Harry Potter: Years 5-7;NINTENDO;2011;Action;Warner Bros. Interactive Entertainment;0,76;0,47;0;0,13;1,36
LEGO Harry Potter: Years 5-7;PC;2011;Action;Warner Bros. Interactive Entertainment;0,05;0,14;0;0,03;0,22
LEGO Harry Potter: Years 5-7;SONY;2011;Action;Warner Bros. Interactive Entertainment;0,36;0,45;0;0,16;0,97
LEGO Batman: The Videogame;NINTENDO;2008;Action;Warner Bros. Interactive Entertainment;1,86;1,02;0;0,29;3,17
Happy Feet Two;MICROSOFT;2011;Action;Warner Bros. Interactive Entertainment;0,08;0,01;0;0,01;0,1
Happy Feet Two;NINTENDO;2011;Action;Warner Bros. Interactive Entertainment;0,07;0,01;0;0,01;0,09
Happy Feet Two;SONY;2011;Action;Warner Bros. Interactive Entertainment;0,09;0,01;0;0,01;0,1
Lego Star Wars: The Force Awakens;MICROSOFT;2016;Action;Warner Bros. Interactive Entertainment;0,04;0,06;0;0,01;0,11
Lego Star Wars: The Force Awakens;MICROSOFT;2016;Action;Warner Bros. Interactive Entertainment;0,12;0,1;0;0,02;0,24
Lego Star Wars: The Force Awakens;NINTENDO;2016;Action;Warner Bros. Interactive Entertainment;0,04;0,04;0;0,01;0,09
Lego Star Wars: The Force Awakens;SONY;2016;Action;Warner Bros. Interactive Entertainment;0,03;0,07;0;0,02;0,12
Lego Star Wars: The Force Awakens;SONY;2016;Action;Warner Bros. Interactive Entertainment;0,14;0,32;0;0,08;0,54
LEGO Marvel's Avengers;MICROSOFT;2016;Action;Warner Bros. Interactive Entertainment;0,17;0,15;0;0,03;0,34
LEGO Marvel's Avengers;MICROSOFT;2016;Action;Warner Bros. Interactive Entertainment;0,18;0,11;0;0,03;0,32
LEGO Marvel's Avengers;NINTENDO;2016;Action;Warner Bros. Interactive Entertainment;0,12;0,09;0;0,02;0,23
LEGO Marvel's Avengers;SONY;2016;Action;Warner Bros. Interactive Entertainment;0,1;0,17;0;0,05;0,32
LEGO Marvel's Avengers;SONY;2016;Action;Warner Bros. Interactive Entertainment;0,25;0,29;0;0,1;0,64
Mad Max (2015);MICROSOFT;2015;Action;Warner Bros. Interactive Entertainment;0,26;0,16;0;0,04;0,46
Mad Max (2015);SONY;2015;Action;Warner Bros. Interactive Entertainment;0,32;0,58;0,04;0,17;1,11
LEGO Jurassic World;MICROSOFT;2015;Action;Warner Bros. Interactive Entertainment;0,47;0,4;0;0,08;0,95
LEGO Jurassic World;MICROSOFT;2015;Action;Warner Bros. Interactive Entertainment;0,35;0,22;0;0,06;0,63
LEGO Jurassic World;NINTENDO;2015;Action;Warner Bros. Interactive Entertainment;0,28;0,19;0,02;0,04;0,53
LEGO Jurassic World;PC;2015;Action;Warner Bros. Interactive Entertainment;0;0,04;0;0;0,04
LEGO Jurassic World;SONY;2015;Action;Warner Bros. Interactive Entertainment;0,34;0,44;0;0,15;0,93
LEGO Jurassic World;SONY;2015;Action;Warner Bros. Interactive Entertainment;0,32;0,42;0,01;0,14;0,89
LEGO Dimensions;MICROSOFT;2015;Action;Warner Bros. Interactive Entertainment;0,24;0,28;0;0,05;0,56
LEGO Dimensions;MICROSOFT;2015;Action;Warner Bros. Interactive Entertainment;0,21;0,13;0;0,03;0,37
LEGO Dimensions;NINTENDO;2015;Action;Warner Bros. Interactive Entertainment;0,3;0,16;0;0,05;0,51
LEGO Dimensions;SONY;2015;Action;Warner Bros. Interactive Entertainment;0,15;0,3;0;0,09;0,54
LEGO Dimensions;SONY;2015;Action;Warner Bros. Interactive Entertainment;0,22;0,32;0;0,1;0,64
Dying Light;MICROSOFT;2015;Action;Warner Bros. Interactive Entertainment;0,43;0,3;0,01;0,07;0,81
Dying Light;PC;2015;Action;Warner Bros. Interactive Entertainment;0,11;0,06;0;0,02;0,18
Dying Light;SONY;2015;Action;Warner Bros. Interactive Entertainment;0,63;0,66;0,11;0,26;1,66
Batman: Arkham Knight;MICROSOFT;2015;Action;Warner Bros. Interactive Entertainment;0,86;0,46;0;0,13;1,45
Batman: Arkham Knight;PC;2015;Action;Warner Bros. Interactive Entertainment;0,08;0,03;0;0,01;0,13
Batman: Arkham Knight;SONY;2015;Action;Warner Bros. Interactive Entertainment;1,49;1,58;0,1;0,61;3,79
The LEGO Movie Videogame;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,69;0,52;0;0,11;1,32
The LEGO Movie Videogame;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,34;0,13;0;0,04;0,51
The LEGO Movie Videogame;NINTENDO;2014;Action;Warner Bros. Interactive Entertainment;0,35;0,23;0,03;0,06;0,66
The LEGO Movie Videogame;PC;2014;Action;Warner Bros. Interactive Entertainment;0,02;0,04;0;0,01;0,06
The LEGO Movie Videogame;SONY;2014;Action;Warner Bros. Interactive Entertainment;0,33;0,48;0,02;0,18;1,01
The LEGO Movie Videogame;SONY;2014;Action;Warner Bros. Interactive Entertainment;0,24;0,31;0,01;0,11;0,67
Middle-Earth: Shadow of Mordor;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,28;0,21;0;0,05;0,54
Middle-Earth: Shadow of Mordor;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,72;0,5;0,01;0,1;1,32
Middle-Earth: Shadow of Mordor;PC;2014;Action;Warner Bros. Interactive Entertainment;0,12;0,2;0;0,04;0,36
Middle-Earth: Shadow of Mordor;SONY;2014;Action;Warner Bros. Interactive Entertainment;0,2;0,33;0,01;0,1;0,64
Middle-Earth: Shadow of Mordor;SONY;2014;Action;Warner Bros. Interactive Entertainment;1,01;1,41;0,05;0,53;2,99
LEGO The Hobbit;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,2;0,26;0;0,04;0,5
LEGO The Hobbit;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,13;0,12;0;0,02;0,27
LEGO The Hobbit;NINTENDO;2014;Action;Warner Bros. Interactive Entertainment;0,1;0,11;0;0,02;0,23
LEGO The Hobbit;PC;2014;Action;Warner Bros. Interactive Entertainment;0;0,04;0;0,01;0,05
LEGO The Hobbit;SONY;2014;Action;Warner Bros. Interactive Entertainment;0,12;0,32;0;0,1;0,54
LEGO The Hobbit;SONY;2014;Action;Warner Bros. Interactive Entertainment;0,12;0,37;0;0,1;0,6
Lego Batman 3: Beyond Gotham;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,48;0,38;0;0,08;0,95
Lego Batman 3: Beyond Gotham;MICROSOFT;2014;Action;Warner Bros. Interactive Entertainment;0,23;0,17;0;0,04;0,43
Lego Batman 3: Beyond Gotham;NINTENDO;2014;Action;Warner Bros. Interactive Entertainment;0,23;0,21;0;0,04;0,47
Lego Batman 3: Beyond Gotham;PC;2014;Action;Warner Bros. Interactive Entertainment;0;0,06;0;0,01;0,06
Lego Batman 3: Beyond Gotham;SONY;2014;Action;Warner Bros. Interactive Entertainment;0,33;0,35;0;0,13;0,81
Lego Batman 3: Beyond Gotham;SONY;2014;Action;Warner Bros. Interactive Entertainment;0,37;0,39;0;0,15;0,92
LEGO Marvel Super Heroes;MICROSOFT;2013;Action;Warner Bros. Interactive Entertainment;1,24;0,85;0;0,21;2,3
LEGO Marvel Super Heroes;MICROSOFT;2013;Action;Warner Bros. Interactive Entertainment;0,61;0,34;0;0,09;1,04
LEGO Marvel Super Heroes;NINTENDO;2013;Action;Warner Bros. Interactive Entertainment;0,31;0,35;0,02;0,06;0,74
LEGO Marvel Super Heroes;PC;2013;Action;Warner Bros. Interactive Entertainment;0,04;0,12;0;0,02;0,18
LEGO Marvel Super Heroes;SONY;2013;Action;Warner Bros. Interactive Entertainment;0,77;0,85;0,01;0,37;2
LEGO Marvel Super Heroes;SONY;2013;Action;Warner Bros. Interactive Entertainment;0,59;0,75;0,01;0,21;1,56
LEGO Batman 2: DC Super Heroes;NINTENDO;2013;Action;Warner Bros. Interactive Entertainment;0,05;0,07;0;0,01;0,13
Batman: Arkham Origins;MICROSOFT;2013;Action;Warner Bros. Interactive Entertainment;1,15;0,61;0;0,17;1,93
Batman: Arkham Origins;NINTENDO;2013;Action;Warner Bros. Interactive Entertainment;0,2;0,09;0;0,03;0,33
Batman: Arkham Origins;PC;2013;Action;Warner Bros. Interactive Entertainment;0,13;0,16;0;0,04;0,32
Batman: Arkham Origins;SONY;2013;Action;Warner Bros. Interactive Entertainment;1,07;0,87;0,04;0,4;2,39
Scribblenauts: Unlimited;NINTENDO;2012;Action;Warner Bros. Interactive Entertainment;0,26;0,09;0;0,03;0,38
Lollipop Chainsaw;MICROSOFT;2012;Action;Warner Bros. Interactive Entertainment;0,31;0,13;0,02;0,04;0,49
Lollipop Chainsaw;SONY;2012;Action;Warner Bros. Interactive Entertainment;0,26;0,21;0,11;0,09;0,67
LEGO The Lord of the Rings;MICROSOFT;2012;Action;Warner Bros. Interactive Entertainment;0,63;0,51;0;0,11;1,26
LEGO The Lord of the Rings;NINTENDO;2012;Action;Warner Bros. Interactive Entertainment;0,52;0,37;0;0,08;0,97
LEGO The Lord of the Rings;PC;2012;Action;Warner Bros. Interactive Entertainment;0,07;0,13;0;0,03;0,22
