Age;Education;Country;Ethnicity;Gender;Neuroticism;Extraversion;Openness;Agreeableness;Conscientiousness;Impulsiveness;SensationSeeing;Cocaine
35-44;college or university but no diploma;UK;White;0;29;39;48;44;52;-0.71126;-0.21575;Used over a decade ago
45-54;college or university but no diploma;UK;Asian;1;43;38;37;48;35;-1.37983;-1.54858;Never used
18-24;college or university but no diploma;UK;White;0;56;24;44;43;26;-1.37983;-1.54858;Never used
18-24;college or university but no diploma;USA;White;0;28;49;55;49;43;0.52975;0.07987;Never used
18-24;college or university but no diploma;Canada;White;0;20;48;58;48;48;-0.71126;0.07987;Never used
18-24;college or university but no diploma;other;White;0;49;34;44;42;36;-0.71126;-1.18084;Never used
18-24;college or university but no diploma;USA;White;0;30;47;51;47;42;-0.21712;-0.52593;Never used
18-24;college or university but no diploma;USA;White;0;28;38;42;48;40;-0.21712;-1.18084;Never used
25-34;college or university but no diploma;USA;White;0;45;24;45;40;35;-1.37983;-0.84637;Never used
18-24;college or university but no diploma;USA;White;0;33;34;37;34;27;-0.71126;0.07987;Used in last year
18-24;college or university but no diploma;USA;White;1;44;27;60;44;36;1.86203;1.2247;Never used
45-54;doctorat degree;UK;White;0;24;51;52;49;53;-0.21712;-0.52593;Never used
35-44;doctorat degree;UK;Asian;0;36;44;47;44;44;-0.21712;-1.18084;Never used
25-34;doctorat degree;USA;White;1;41;42;56;39;37;-0.21712;-0.52593;Never used
65+;left at 16;UK;White;1;44;34;47;42;49;-0.21712;-0.52593;Never used
55-64;left at 18;Canada;White;1;31;37;35;49;47;-1.37983;-1.54858;Never used
25-34;left at 18;other;White;0;38;50;48;33;42;-0.21712;0.7654;Used in last decade
18-24;left at 18;Republic of Ireland;White;1;44;37;49;46;34;-0.71126;0.40148;Never used
25-34;master degree;UK;Asian;0;23;43;53;40;49;-1.37983;-0.84637;Never used
25-34;master degree;other;White;0;44;33;50;47;47;0.52975;-0.21575;Never used
18-24;master degree;UK;Asian;1;41;30;33;49;44;0.52975;-0.84637;Never used
18-24;master degree;UK;Asian;1;30;41;40;47;47;-0.21712;-0.21575;Never used
35-44;master degree;UK;Black;1;33;36;42;44;43;-0.21712;-1.18084;Never used
35-44;profesionnel diploma;UK;Black;1;27;46;40;52;48;-1.37983;-1.54858;Never used
45-54;profesionnel diploma;UK;White;0;32;41;41;40;43;-1.37983;-1.54858;Never used
35-44;university degree;UK;Asian;1;26;43;45;42;46;-1.37983;-1.18084;Never used
25-34;university degree;UK;Black;0;24;42;42;34;54;-0.71126;0.07987;Never used
18-24;university degree;UK;Asian;1;39;44;53;50;40;-0.71126;0.7654;Never used
25-34;university degree;Canada;White;0;27;38;45;30;40;0.52975;-1.54858;Never used
18-24;university degree;UK;Asian;0;44;44;40;28;48;1.86203;1.92173;Never used
18-24;university degree;UK;Asian;1;45;35;41;45;42;-0.71126;-0.52593;Never used
65+;university degree;UK;White;0;20;39;42;57;45;-1.37983;-2.07848;Never used
25-34;university degree;UK;Asian;1;33;53;30;37;41;1.29221;-0.21575;Never used
25-34;university degree;UK;White;1;40;47;38;57;50;-1.37983;-1.54858;Never used
55-64;college or university but no diploma;USA;White;0;29;38;53;54;47;-1.37983;-1.18084;Used over a decade ago
35-44;college or university but no diploma;USA;White;0;46;30;45;45;51;-0.71126;-0.84637;Used in last decade
45-54;left <16;UK;White;0;26;47;49;48;49;-0.71126;0.40148;Never used
45-54;left <16;Republic of Ireland;White;0;35;33;46;50;34;0.19268;1.2247;Used in last year
45-54;left <16;UK;White;1;38;38;37;39;40;-0.21712;-0.52593;Never used
35-44;left at 16;UK;White;1;21;50;42;54;52;0.52975;-0.52593;Never used
35-44;left at 16;UK;White;0;35;40;44;43;45;-1.37983;-1.18084;Never used
25-34;left at 16;UK;White;0;32;40;42;37;47;0.52975;0.40148;Never used
45-54;left at 16;UK;White;1;46;35;34;41;35;1.86203;1.92173;Used in last decade
45-54;left at 18;Australia;White;1;30;44;44;46;48;-0.71126;-0.52593;Used in last decade
35-44;master degree;UK;White;1;20;41;55;54;49;-0.71126;-0.84637;Used over a decade ago
45-54;master degree;UK;White;0;27;48;55;49;46;-0.71126;-1.18084;Used over a decade ago
35-44;master degree;UK;White;0;46;34;45;41;42;-0.21712;-0.21575;Never used
65+;master degree;USA;White;0;18;40;50;48;47;0.52975;-0.52593;Never used
25-34;master degree;UK;White;1;46;33;41;51;48;-1.37983;-1.54858;Never used
55-64;profesionnel diploma;Canada;White;1;28;45;46;49;59;-0.71126;-0.84637;Never used
35-44;profesionnel diploma;UK;Black;0;21;48;42;51;54;-0.71126;-0.52593;Never used
45-54;profesionnel diploma;UK;White;1;26;43;41;48;47;-0.21712;-0.21575;Never used
55-64;profesionnel diploma;UK;White;1;42;40;46;42;46;0.19268;-0.52593;Never used
35-44;profesionnel diploma;USA;White;1;22;45;51;45;46;-0.21712;0.40148;Used over a decade ago
55-64;profesionnel diploma;Canada;White;1;36;38;44;38;46;1.29221;0.7654;Used over a decade ago
55-64;profesionnel diploma;Canada;White;1;32;37;44;38;46;0.88113;1.2247;Used over a decade ago
55-64;profesionnel diploma;UK;White;0;35;38;46;39;39;-1.37983;-1.18084;Used over a decade ago
45-54;profesionnel diploma;Canada;White;1;46;31;44;41;38;-0.21712;-0.21575;Used over a decade ago
45-54;profesionnel diploma;UK;White;0;48;43;50;38;48;-0.71126;-0.21575;Never used
25-34;university degree;UK;White;1;30;44;32;45;47;-0.71126;-0.52593;Never used
55-64;university degree;UK;White;0;25;47;44;50;48;-0.21712;0.07987;Never used
45-54;university degree;UK;White;0;34;35;49;48;31;0.19268;-0.21575;Used over a decade ago
45-54;university degree;UK;Black;1;33;41;39;48;46;0.19268;-1.54858;Never used
35-44;university degree;UK;White;0;25;41;45;41;39;-0.21712;-0.52593;Used over a decade ago
45-54;university degree;USA;White;0;25;44;59;48;50;-1.37983;0.07987;Used over a decade ago
45-54;university degree;UK;White;0;38;32;41;41;37;0.19268;-0.84637;Used over a decade ago
35-44;university degree;USA;White;1;52;27;42;41;32;0.88113;-0.84637;Used over a decade ago
35-44;university degree;UK;White;1;42;29;44;45;41;-0.71126;-2.07848;Never used
35-44;college or university but no diploma;UK;White;0;40;34;52;44;39;0.52975;-0.21575;Used in last decade
35-44;college or university but no diploma;UK;White;1;29;37;48;44;42;0.19268;-0.84637;Used over a decade ago
35-44;college or university but no diploma;USA;White;1;49;40;43;38;38;0.88113;-0.21575;Used in last decade
45-54;college or university but no diploma;USA;White;1;27;37;52;59;42;-1.37983;-1.18084;Used in last decade
45-54;college or university but no diploma;UK;White;1;31;37;46;44;39;1.86203;-0.84637;Used over a decade ago
55-64;college or university but no diploma;USA;White;1;24;39;48;37;45;0.52975;0.07987;Used over a decade ago
45-54;college or university but no diploma;USA;White;0;35;40;52;55;41;-0.71126;0.07987;Used over a decade ago
45-54;college or university but no diploma;USA;White;1;46;41;45;39;34;1.29221;1.2247;Used in last decade
35-44;college or university but no diploma;USA;White;0;46;47;44;35;46;0.88113;1.2247;Used over a decade ago
25-34;college or university but no diploma;USA;White;0;33;41;44;40;35;1.29221;0.7654;Used in last year
25-34;college or university but no diploma;UK;White;0;26;43;57;53;45;-0.21712;0.07987;Used in last decade
25-34;college or university but no diploma;USA;White;1;25;49;54;37;41;0.52975;1.2247;Used in last decade
18-24;college or university but no diploma;USA;White;0;49;39;45;27;33;0.88113;0.40148;Used in last week
25-34;college or university but no diploma;USA;White;0;32;21;37;38;40;0.19268;0.7654;Used in last decade
18-24;college or university but no diploma;USA;White;0;34;28;48;39;40;-0.71126;0.40148;Never used
45-54;college or university but no diploma;UK;White;1;40;40;48;47;42;0.52975;-0.52593;Never used
55-64;college or university but no diploma;USA;White;0;33;30;45;34;48;0.52975;-0.84637;Used over a decade ago
45-54;college or university but no diploma;USA;White;0;33;40;48;45;40;0.88113;1.2247;Used over a decade ago
45-54;college or university but no diploma;USA;White;0;56;31;46;26;20;-0.21712;1.2247;Used over a decade ago
18-24;college or university but no diploma;USA;White;0;51;25;55;39;21;1.86203;-0.21575;Never used
18-24;college or university but no diploma;other;White;0;30;39;48;32;31;0.19268;0.40148;Never used
45-54;doctorat degree;USA;White;0;37;42;49;37;42;0.19268;0.40148;Never used
35-44;left <16;UK;White;1;37;34;33;44;45;-1.37983;-2.07848;Used in last decade
18-24;left <16;UK;White;1;29;39;44;53;40;-0.71126;0.40148;Never used
45-54;left at 16;UK;White;0;49;38;44;44;41;0.88113;0.40148;Used in last decade
25-34;left at 16;UK;White;0;31;40;45;39;45;0.52975;-0.84637;Used in last decade
35-44;left at 16;UK;White;1;40;36;36;43;28;0.19268;-0.21575;Used in last decade
35-44;left at 16;USA;White;0;47;36;47;47;30;-1.37983;-0.21575;Used in last decade
35-44;left at 16;UK;White;1;43;36;31;38;27;-0.21712;-0.52593;Used in last decade
65+;left at 18;Canada;White;1;29;38;35;55;52;-1.37983;-1.54858;Never used
25-34;left at 18;Canada;White;1;40;40;29;41;47;-1.37983;-2.07848;Never used
18-24;left at 18;USA;other;1;33;44;36;44;47;1.29221;0.07987;Never used
18-24;left at 18;USA;White;0;51;23;54;46;31;0.52975;0.40148;Never used
45-54;master degree;UK;White;0;27;45;46;43;45;-1.37983;-1.54858;Used over a decade ago
25-34;master degree;UK;White;1;39;39;48;40;48;-0.71126;-0.21575;Never used
18-24;master degree;UK;White;1;52;29;45;48;44;-0.21712;-1.18084;Never used
18-24;master degree;UK;White;1;51;29;45;45;39;-0.71126;-1.54858;Never used
25-34;master degree;UK;White;1;40;30;38;47;44;-1.37983;-2.07848;Never used
45-54;profesionnel diploma;Canada;White;0;47;46;42;37;27;1.86203;1.92173;Used over a decade ago
35-44;profesionnel diploma;Canada;White;0;40;37;51;45;47;0.88113;0.7654;Never used
35-44;profesionnel diploma;UK;White;1;50;31;35;29;36;0.52975;0.07987;Never used
25-34;profesionnel diploma;UK;Black;1;36;40;39;40;48;0.52975;-0.52593;Never used
35-44;profesionnel diploma;UK;White;0;48;45;49;52;29;1.86203;0.7654;Used over a decade ago
25-34;profesionnel diploma;UK;White;1;36;40;41;45;48;-1.37983;-1.18084;Never used
35-44;profesionnel diploma;UK;White;0;38;39;46;45;40;-0.71126;0.40148;Used in last decade
25-34;profesionnel diploma;other;White;0;41;36;47;42;36;0.52975;1.2247;Used in last year
18-24;profesionnel diploma;UK;White;0;43;36;54;36;40;0.52975;0.40148;Never used
35-44;profesionnel diploma;UK;White;0;31;45;46;39;43;0.88113;1.2247;Used over a decade ago
18-24;profesionnel diploma;Canada;White;1;41;37;35;50;37;0.19268;-0.52593;Used in last decade
45-54;profesionnel diploma;UK;White;1;37;39;40;45;46;0.52975;-0.52593;Never used
35-44;profesionnel diploma;USA;White;1;54;26;52;45;28;0.88113;-1.18084;Used over a decade ago
45-54;profesionnel diploma;USA;Black;0;26;33;39;38;47;-1.37983;-0.52593;Used over a decade ago
55-64;university degree;UK;White;0;29;37;51;43;41;1.86203;0.07987;Never used
35-44;university degree;UK;Black;1;33;40;43;43;42;-0.71126;-2.07848;Never used
35-44;university degree;UK;White;1;36;43;45;49;44;0.19268;-0.21575;Used in last decade
45-54;university degree;UK;White;1;41;45;46;44;41;-0.21712;0.07987;Used over a decade ago
45-54;university degree;UK;White;0;40;42;45;47;45;-0.71126;-0.52593;Used over a decade ago
35-44;university degree;UK;White;0;31;47;44;39;43;0.19268;0.7654;Used in last decade
25-34;university degree;UK;White;1;48;43;55;45;48;0.19268;-0.84637;Never used
25-34;university degree;UK;White;0;33;41;44;35;47;1.29221;0.40148;Never used
18-24;university degree;UK;White;0;33;40;55;48;48;0.52975;-0.21575;Never used
25-34;university degree;USA;White;0;43;41;36;35;32;0.19268;1.2247;Used in last decade
18-24;university degree;other;White;0;20;47;51;41;50;-0.21712;0.40148;Never used
35-44;university degree;USA;White;0;48;32;52;44;37;-0.71126;0.40148;Used in last decade
55-64;university degree;USA;White;0;52;24;38;35;40;0.88113;-0.84637;Used over a decade ago
35-44;university degree;Canada;White;1;45;35;59;40;51;0.19268;1.2247;Used in last decade
25-34;university degree;USA;other;1;44;28;44;33;33;-1.37983;-1.18084;Used over a decade ago
55-64;university degree;USA;White;1;40;44;49;52;41;0.88113;-0.52593;Used in last decade
45-54;college or university but no diploma;Canada;White;1;39;44;38;45;51;-0.71126;-0.84637;Never used
35-44;college or university but no diploma;UK;White;1;39;26;36;38;38;-1.37983;-2.07848;Never used
25-34;college or university but no diploma;UK;White;1;43;41;36;43;32;1.86203;0.7654;Never used
25-34;college or university but no diploma;USA;White;1;33;37;35;44;46;-1.37983;-1.54858;Never used
35-44;college or university but no diploma;other;White;1;31;29;48;44;29;-0.21712;-0.84637;Used over a decade ago
18-24;college or university but no diploma;UK;White;1;29;49;31;43;46;0.52975;0.07987;Never used
35-44;college or university but no diploma;UK;White;0;44;43;55;44;24;1.29221;1.2247;Used in last decade
18-24;college or university but no diploma;USA;White;0;47;34;45;34;37;-1.37983;-0.84637;Used in last year
55-64;college or university but no diploma;USA;White;0;28;41;50;47;48;-1.37983;-0.52593;Used over a decade ago
18-24;college or university but no diploma;UK;White;0;23;42;53;55;43;-0.71126;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;30;39;40;50;45;-1.37983;-0.84637;Never used
18-24;college or university but no diploma;UK;White;0;35;29;37;39;28;1.29221;-0.84637;Never used
18-24;college or university but no diploma;USA;White;0;40;44;46;42;40;0.52975;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;0;42;28;37;43;35;1.86203;1.2247;Never used
25-34;college or university but no diploma;USA;White;0;37;37;40;41;42;-0.71126;-1.54858;Used in last decade
18-24;college or university but no diploma;USA;other;0;47;31;48;43;33;1.86203;1.92173;Used in last Month
18-24;college or university but no diploma;UK;White;0;19;41;51;44;47;0.19268;1.2247;Never used
18-24;college or university but no diploma;USA;White;0;47;36;44;39;49;-0.71126;-0.21575;Used in last week
18-24;college or university but no diploma;USA;White;0;40;33;44;46;41;-0.21712;0.7654;Used in last Month
25-34;college or university but no diploma;USA;White;0;41;37;45;47;34;0.52975;0.40148;Used in last decade
18-24;college or university but no diploma;USA;White;1;37;33;46;46;47;-0.21712;-0.52593;Never used
18-24;college or university but no diploma;Australia;Asian;0;29;51;51;44;45;0.88113;1.92173;Never used
18-24;college or university but no diploma;USA;White;0;37;49;54;35;36;0.52975;0.7654;Used in last Month
18-24;college or university but no diploma;USA;White;0;29;40;48;54;50;-0.21712;-0.52593;Used in last decade
18-24;college or university but no diploma;other;Asian;1;46;31;53;36;32;2.90161;0.40148;Used in last decade
25-34;college or university but no diploma;other;White;0;37;37;33;27;41;0.52975;0.7654;Used in last year
18-24;college or university but no diploma;USA;White;1;52;28;45;53;45;0.52975;1.2247;Never used
18-24;college or university but no diploma;USA;White;0;25;30;41;35;33;0.19268;-0.21575;Never used
18-24;college or university but no diploma;USA;Mixed White/Asian;1;51;34;50;46;33;0.88113;0.7654;Used in last day
18-24;college or university but no diploma;USA;White;1;25;42;57;47;41;2.90161;1.92173;Used in last year
18-24;college or university but no diploma;other;White;0;55;27;44;33;44;-1.37983;-0.52593;Never used
35-44;college or university but no diploma;USA;White;1;45;30;36;40;36;0.19268;-2.07848;Used in last year
18-24;college or university but no diploma;Australia;White;0;29;42;50;50;42;0.19268;0.7654;Never used
25-34;college or university but no diploma;UK;White;0;38;30;45;36;31;1.29221;0.40148;Used in last decade
25-34;college or university but no diploma;USA;White;0;27;40;51;44;37;0.88113;0.07987;Used in last decade
18-24;college or university but no diploma;UK;White;1;38;39;44;39;45;-0.21712;-0.52593;Used in last decade
35-44;college or university but no diploma;USA;White;0;37;36;46;38;43;-0.71126;0.40148;Never used
18-24;college or university but no diploma;USA;other;0;23;40;40;48;40;-0.21712;0.7654;Never used
18-24;college or university but no diploma;USA;White;1;42;44;49;44;22;1.86203;1.2247;Never used
18-24;college or university but no diploma;USA;White;0;55;19;37;45;27;0.52975;1.2247;Never used
25-34;college or university but no diploma;USA;White;0;44;30;49;36;33;0.19268;0.7654;Used in last year
18-24;college or university but no diploma;Canada;Mixed White/Black;0;22;33;50;36;39;0.52975;0.40148;Never used
18-24;college or university but no diploma;USA;Mixed White/Black;0;26;52;54;44;46;0.52975;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;43;43;41;33;38;1.86203;0.7654;Used in last decade
25-34;college or university but no diploma;USA;White;0;45;39;56;44;44;0.52975;1.2247;Used in last decade
35-44;college or university but no diploma;USA;White;1;30;33;55;45;37;-0.21712;0.07987;Used in last decade
18-24;college or university but no diploma;USA;White;1;38;48;47;49;49;0.19268;-0.84637;Never used
18-24;college or university but no diploma;USA;White;1;19;33;47;43;37;0.19268;0.40148;Never used
18-24;college or university but no diploma;other;White;1;26;45;56;35;24;-0.21712;0.7654;Never used
18-24;college or university but no diploma;UK;White;0;28;47;46;51;54;0.88113;0.40148;Used in last decade
18-24;college or university but no diploma;USA;White;1;43;38;41;46;35;-0.21712;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;40;37;58;30;55;1.29221;1.92173;Used in last year
25-34;college or university but no diploma;USA;Mixed Black/Asian;1;43;36;44;37;41;0.88113;-0.21575;Used in last year
25-34;college or university but no diploma;USA;other;1;49;42;51;49;43;-0.71126;0.07987;Used in last decade
18-24;college or university but no diploma;USA;Mixed White/Asian;0;34;36;40;39;38;-0.21712;-2.07848;Used in last decade
18-24;college or university but no diploma;USA;White;1;46;33;52;44;41;-0.71126;0.40148;Never used
18-24;college or university but no diploma;USA;White;1;50;41;52;43;46;0.52975;0.7654;Never used
18-24;college or university but no diploma;UK;White;1;30;38;40;47;46;-0.71126;-1.54858;Never used
25-34;college or university but no diploma;USA;White;0;33;32;59;37;37;1.29221;0.7654;Used in last year
25-34;college or university but no diploma;Canada;White;0;21;41;44;40;48;-0.21712;0.07987;Used in last year
25-34;college or university but no diploma;other;White;0;54;27;47;52;35;0.19268;-0.52593;Never used
18-24;college or university but no diploma;USA;White;0;37;27;43;45;39;-0.71126;-0.52593;Never used
55-64;college or university but no diploma;UK;White;1;31;33;36;46;42;-0.71126;-0.52593;Never used
18-24;college or university but no diploma;USA;White;0;39;26;47;51;56;-1.37983;-0.52593;Never used
45-54;college or university but no diploma;USA;White;1;49;39;49;46;37;1.86203;-0.52593;Used over a decade ago
18-24;college or university but no diploma;USA;White;0;28;42;57;36;36;-0.21712;0.40148;Used in last year
35-44;college or university but no diploma;USA;White;1;39;29;49;48;40;-0.21712;0.7654;Used over a decade ago
18-24;college or university but no diploma;Canada;White;1;42;33;49;47;49;1.86203;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;0;22;41;58;41;42;0.88113;0.40148;Used in last year
18-24;college or university but no diploma;USA;White;0;39;36;44;33;35;-1.37983;0.7654;Used in last year
18-24;college or university but no diploma;USA;White;0;34;47;55;41;42;0.19268;0.7654;Used in last decade
25-34;doctorat degree;UK;White;1;37;42;35;52;49;-1.37983;-0.52593;Never used
45-54;doctorat degree;USA;White;1;41;40;56;49;42;1.29221;0.40148;Used over a decade ago
25-34;doctorat degree;USA;White;1;26;45;44;42;48;-0.21712;-0.52593;Never used
25-34;doctorat degree;UK;White;1;27;45;42;39;42;-1.37983;-0.84637;Never used
35-44;doctorat degree;other;White;1;32;37;54;44;30;0.52975;0.40148;Never used
25-34;doctorat degree;Australia;White;1;37;37;35;43;48;-1.37983;-1.54858;Never used
65+;left <16;UK;White;0;33;34;28;41;36;0.52975;-1.54858;Never used
18-24;left <16;UK;White;0;54;30;48;30;29;-0.21712;0.07987;Never used
35-44;left <16;UK;White;0;30;40;42;39;46;-0.21712;0.40148;Used in last decade
25-34;left <16;USA;White;1;33;44;41;37;44;1.29221;-0.21575;Used in last year
18-24;left <16;Australia;White;0;37;38;46;46;33;-0.21712;0.40148;Used in last decade
18-24;left <16;New Zealand;White;0;25;33;53;51;38;0.88113;1.2247;Never used
35-44;left at 16;other;White;1;25;34;47;39;42;-1.37983;-0.84637;Never used
65+;left at 16;UK;White;1;25;27;26;33;44;0.52975;-2.07848;Never used
65+;left at 16;UK;White;1;34;34;39;48;45;-1.37983;-1.54858;Never used
45-54;left at 16;UK;White;0;32;52;48;46;46;-0.21712;-0.21575;Never used
18-24;left at 16;UK;White;1;47;36;32;41;41;1.86203;0.7654;Used over a decade ago
35-44;left at 16;UK;White;0;57;31;39;31;29;1.86203;1.92173;Used in last year
45-54;left at 16;USA;White;1;59;28;36;53;26;-0.21712;0.07987;Used over a decade ago
55-64;left at 16;USA;White;0;34;38;45;48;45;-0.21712;-0.21575;Used in last Month
45-54;left at 16;Australia;White;1;42;38;40;40;43;-0.71126;-1.18084;Never used
18-24;left at 16;USA;White;0;46;29;48;44;35;0.52975;0.07987;Used in last year
35-44;left at 16;UK;White;0;29;35;42;44;37;-1.37983;-0.84637;Used in last decade
45-54;left at 16;UK;White;0;41;36;49;26;40;0.88113;-0.21575;Used over a decade ago
18-24;left at 16;Canada;White;0;35;26;56;43;39;-0.71126;-0.52593;Used in last year
18-24;left at 16;UK;White;0;53;30;45;31;29;0.88113;0.7654;Used in last week
18-24;left at 16;USA;White;0;48;37;48;46;41;-0.71126;1.2247;Used in last decade
25-34;left at 16;UK;White;1;25;31;30;54;46;-2.55524;-2.07848;Never used
35-44;left at 16;USA;White;0;31;31;43;46;41;-0.21712;-0.84637;Used in last year
55-64;left at 17;UK;Mixed White/Black;1;46;33;38;52;29;0.19268;-0.21575;Never used
