;Industry classfication;Country ;Continent;Capital expenditure;Net sales ;Number of employees;Operating profits;R&D investment
ATI Technologies;Computer hardware;CA;AMERIQUE;63;2197;8000;309;35,69
Hewlett-Packard;Computer hardware;US;AMERIQUE;7;167;1047;10;79,29
Sun Microsystems;Computer hardware;US;AMERIQUE;8;438;2717;96;43,19
EMC;Computer hardware;US;AMERIQUE;4;253;1874;8;36,1
Apple Computer;Computer hardware;US;AMERIQUE;2;229;2453;10;32,81
Dell;Computer hardware;US;AMERIQUE;3;47;1784;-1;28,5
Lexmark;Computer hardware;US;AMERIQUE;5;381;2546;70;26,61
NCR;Computer hardware;US;AMERIQUE;4;356;2040;22;24,93
Maxtor;Computer hardware;US;AMERIQUE;23;382;2137;6;24,47
Network Appliance;Computer hardware;US;AMERIQUE;9;169;1438;-7;24,03
Western Digital;Computer hardware;US;AMERIQUE;3;106;665;5;23,08
Storage Technology;Computer hardware;US;AMERIQUE;1;102;595;22;21,41
Tektronix;Computer hardware;US;AMERIQUE;4;165;1388;12;20,63
Palm;Computer hardware;US;AMERIQUE;1;96;486;16;20,3
McData;Computer hardware;US;AMERIQUE;1;128;486;30;19,84
Avid Technology;Computer hardware;US;AMERIQUE;3;224;2050;14;19,54
Electronics For Imaging;Computer hardware;US;AMERIQUE;0;81;318;8;18,59
Quantum;Computer hardware;US;AMERIQUE;8;70;678;14;18,46
Silicon Graphics;Computer hardware;US;AMERIQUE;3;211;1532;-11;18,28
American Power Conversion;Computer hardware;US;AMERIQUE;1;58;492;-2;17,12
Emulex;Computer hardware;US;AMERIQUE;2;137;915;21;17,12
Unova (now Intermec);Computer hardware;US;AMERIQUE;1;76;547;5;16,37
Adaptec;Computer hardware;US;AMERIQUE;2;103;754;-7;16,04
Diebold;Computer hardware;US;AMERIQUE;8;108;588;14;15,33
Avocent;Computer hardware;US;AMERIQUE;6;225;2650;41;15,26
Imation;Computer hardware;US;AMERIQUE;1;30;240;-28;14,75
Mercury Computer Systems;Computer hardware;US;AMERIQUE;5;262;1093;15;14,39
Komag;Computer hardware;US;AMERIQUE;2;106;843;11;12,81
Zebra Technologies;Computer hardware;US;AMERIQUE;0;43;121;1;12,26
Verifone;Computer hardware;US;AMERIQUE;2;83;518;4;10,99
Advanced Digital Information;Computer hardware;US;AMERIQUE;0;44;397;7;10,73
Cray;Computer hardware;US;AMERIQUE;1;113;698;13;10,5
Hutchinson Technology;Computer hardware;US;AMERIQUE;0;45;246;5;10,1
Micros Systems;Computer hardware;US;AMERIQUE;3;318;2297;30;9,52
Radisys;Computer hardware;US;AMERIQUE;1;34;378;3;9,47
Lenovo;Computer hardware;HK;ASIE;95;8941;40000;1143;137,67
M-Systems Flash Disk Pioneers (now M-Systems);Computer hardware;IL;ASIE;82;2375;12403;160;79,76
Hitachi;Computer hardware;JP;ASIE;7;212;1647;24;15,01
Toshiba;Computer hardware;JP;ASIE;7;238;2316;19;14,85
NEC;Computer hardware;JP;ASIE;10;139;861;33;14,63
Fujitsu;Computer hardware;JP;ASIE;6;177;601;16;12,28
Mitsubishi Electric;Computer hardware;JP;ASIE;6;279;1818;37;12,08
Rohm;Computer hardware;JP;ASIE;5;720;316;195;10,2
Nidec;Computer hardware;JP;ASIE;7;121;614;13;9,52
Tokyo Seimitsu;Computer hardware;JP;ASIE;4;118;506;9;7,91
Eizo Nanao;Computer hardware;JP;ASIE;11;146;1296;13;7,69
Creative Technology;Computer hardware;SG;ASIE;984;30395;137799;1577;2337
Benq;Computer hardware;TW;ASIE;0;5;76;-8;2,98
MediaTek;Computer hardware;TW;ASIE;2562;63885;334402;2670;4056,61
Asustek Computer;Computer hardware;TW;ASIE;3322;49873;158500;2570;3819,68
Pou Chen;Computer hardware;TW;ASIE;146;2569;10845;293;188,71
Lite-On Technology;Computer hardware;TW;ASIE;154;3836;18574;204;164,86
Wistron;Computer hardware;TW;ASIE;143;4168;12673;280;130,76
Inventec Appliances;Computer hardware;TW;ASIE;23;871;3034;286;63,48
Inventec;Computer hardware;TW;ASIE;365;1610;2060;-194;41,25
Micro-Star International;Computer hardware;TW;ASIE;6;166;400;-32;34,83
Kinpo Electronics;Computer hardware;TW;ASIE;96;2222;12360;210;230
Accton Technology;Computer hardware;TW;ASIE;348;7889;71611;969;149
Logitech International;Computer hardware;CH;EUROPE;994;20428;68700;1090;53,41
Kontron;Computer hardware;DE;EUROPE;0;0;30;-9;3,64
Softing;Computer hardware;DE;EUROPE;1;18;132;-3;3,24
Glunz and Jensen;Computer hardware;DK;EUROPE;13;270;1316;27;3,2
Bull;Computer hardware;FR;EUROPE;218;4214;6695;258;4,34
Axis;Computer hardware;SE;EUROPE;6;131;520;17;9,65
Anoto;Computer hardware;SE;EUROPE;1;124;334;10;8,74
Switchcore;Computer hardware;SE;EUROPE;3;210;708;18;7,49
AudioDev;Computer hardware;SE;EUROPE;3;1;108;-20;6,87
Psion;Computer hardware;UK;EUROPE;1;37;378;-1;3,23
Plasmon;Computer hardware;UK;EUROPE;0;0;21;-5;3,2
Radstone Technology;Computer hardware;UK;EUROPE;1003;22844;184200;-1851;1865,03
CGI;Computer services;CA;AMERIQUE;56;1778;4425;398;42
Macdonald Dettwiler and Associates;Computer services;CA;AMERIQUE;690;14556;57778;2573;38
IBM;Computer services;US;AMERIQUE;303;730;1786;303;15,52
Unisys;Computer services;US;AMERIQUE;45;467;2191;84;13,8
SunGard Data Systems;Computer services;US;AMERIQUE;9;189;2654;19;8,95
DST Systems;Computer services;US;AMERIQUE;13;626;6449;16;7,77
Ixia;Computer services;US;AMERIQUE;23;937;7515;109;7
Quadramed;Computer services;US;AMERIQUE;1;104;438;6;6,91
Formula Systems (1985);Computer services;IL;ASIE;28;1257;8800;148;69,42
IONA Technologies;Computer services;IR;ASIE;153;13035;55200;821;640,04
Nihon Unisys;Computer services;JP;ASIE;35;2264;4287;288;551,56
D-Link;Computer services;TW;ASIE;345;9573;36000;2606;943,45
H-Link;Computer services;TW;ASIE;140;6532;26071;965;551
Wincor Nixdorf;Computer services;DE;EUROPE;223;8459;32530;844;213,94
PSI;Computer services;DE;EUROPE;288;2756;14434;241;146,9
SoftM Software und Beratung;Computer services;DE;EUROPE;931;10435;35900;1456;141,1
Mensch und Maschine Software;Computer services;DE;EUROPE;258;5399;19444;274;134
GFT Technologies;Computer services;DE;EUROPE;243;7150;18282;-7;101
Realtech;Computer services;DE;EUROPE;47;779;4719;-87;94,6
CENIT AG Systemhaus;Computer services;DE;EUROPE;122;3176;7938;55;92
Indra Sistemas;Computer services;ES;EUROPE;86;1417;2721;163;68,44
TietoEnator;Computer services;FI;EUROPE;110;2244;15294;55;18,7
F-Secure;Computer services;FI;EUROPE;6;246;792;67;10,01
Stonesoft;Computer services;FI;EUROPE;71;992;5631;88;6,04
Sopra;Computer services;FR;EUROPE;17;508;3899;82;7,81
Sword;Computer services;FR;EUROPE;26;1551;9362;153;7,71
GFI Informatique;Computer services;FR;EUROPE;31;1199;7817;58;7,63
Ares;Computer services;FR;EUROPE;17;548;3065;53;7,13
Prosodie;Computer services;FR;EUROPE;1;101;801;10;6,9
ALTEC;Computer services;GR;EUROPE;31;1914;9991;43;3,66
Unisystems Information Systems;Computer services;GR;EUROPE;2;109;537;4;3,62
Intentia International;Computer services;SE;EUROPE;8;577;732;45;50,98
Teleca;Computer services;SE;EUROPE;10;130;505;-17;49,46
Protect Data;Computer services;SE;EUROPE;19;309;3688;-9;44
LogicaCMG;Computer services;UK;EUROPE;335;7667;33388;291;474,01
Northgate Information Solutions;Computer services;UK;EUROPE;198;5022;27500;420;122,67
Torex Retail;Computer services;UK;EUROPE;48;959;1000;41;70,35
Anite;Computer services;UK;EUROPE;415;10125;58760;705;408
Microgen;Computer services;UK;EUROPE;5839;51051;156765;7957;402
Detica;Computer services;UK;EUROPE;1296;13758;32231;3031;114,72
AIT (now Portrait Software);Computer services;UK;EUROPE;597;3441;23016;-594;80,05
TTP;Computer services;UK;EUROPE;579;10817;17926;1265;24
Newchurch;Computer services;UK;EUROPE;1302;6099;18485;790;23,04
ClinPhone;Computer services;UK;EUROPE;766;601;938;-11;21,5
Google;Internet;US;AMERIQUE;9;233;1624;12;5,62
Yahoo!;Internet;US;AMERIQUE;286;3497;90096;373;5,39
United Online;Internet;US;AMERIQUE;6;279;2175;1;4,95
F5 Networks;Internet;US;AMERIQUE;80;1161;8121;142;4,84
Infospace;Internet;US;AMERIQUE;1;113;1330;6;4,25
Check Point Software Technologies;Internet;IL;ASIE;22;1023;5587;48;58,6
Softbank;Internet;JP;ASIE;903;4137;18800;171;511,78
Ubizen;Internet;BE;EUROPE;56;883;4541;25;8
ComBOTS;Internet;DE;EUROPE;166;6922;7451;331;85,58
TELES;Internet;DE;EUROPE;22;593;2527;-89;66,08
PlusNet;Internet;UK;EUROPE;3037;35525;60084;5840;20
Tadpole Technology;Internet;UK;EUROPE;335;3877;8939;1861;14
Alltel;Mobile telecommunications;US;AMERIQUE;4;64;416;0;3,51
Sprint Nextel;Mobile telecommunications;US;AMERIQUE;0;0;19;-5;3,49
SK Telecom;Mobile telecommunications;KR;ASIE;618;738;4497;-36;150,85
